FACULTEIT;COLLEGEJAAR;CURSUS;AANVANGSBLOK;KORTE_NAAM_NL;TOETS;VOLTIJD_DEELTIJD;BLOK;GELEGENHEID;OMSCHRIJVING;STUDENTNUMMER
GEO;2022;GEO-SD-MSc;4;Admittance_exam_MSc_Sustainable_Development;ADMITTANCE_EXAM;V;4;1;Admittance_exam;6605818
GEO;2022;GEO-SD-MSc;4;Admittance_exam_MSc_Sustainable_Development;ADMITTANCE_EXAM;V;4;1;Admittance_exam;6833934
GEO;2022;GEO-SD-MSc;4;Admittance_exam_MSc_Sustainable_Development;ADMITTANCE_EXAM;V;4;1;Admittance_exam;9252266
GEO;2022;GEO-SD-MSc;4;Admittance_exam_MSc_Sustainable_Development;ADMITTANCE_EXAM;V;4;1;Admittance_exam;0384186
GEO;2022;GEO-SD-MSc;4;Admittance_exam_MSc_Sustainable_Development;ADMITTANCE_EXAM;V;4;1;Admittance_exam;1748041
GEO;2022;GEO-SD-MSc;4;Admittance_exam_MSc_Sustainable_Development;ADMITTANCE_EXAM;V;4;1;Admittance_exam;7264879
GEO;2022;GEO-SD-MSc;4;Admittance_exam_MSc_Sustainable_Development;ADMITTANCE_EXAM;V;4;1;Admittance_exam;7454678
GEO;2022;GEO-SD-MSc;4;Admittance_exam_MSc_Sustainable_Development;ADMITTANCE_EXAM;V;4;1;Admittance_exam;6437540
GEO;2022;GEO-SD-MSc;4;Admittance_exam_MSc_Sustainable_Development;ADMITTANCE_EXAM;V;4;1;Admittance_exam;8050929
GEO;2022;GEO-SD-MSc;4;Admittance_exam_MSc_Sustainable_Development;ADMITTANCE_EXAM;V;4;1;Admittance_exam;8790493
GEO;2022;GEO-SD-MSc;4;Admittance_exam_MSc_Sustainable_Development;ADMITTANCE_EXAM;V;4;1;Admittance_exam;4687159
